k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
36,16,10,3.0,14,0.18,2.6,0.6730756947004729,0.24030778540716027
40,12,10,1.5,14,0.22,2.2,0.6730812665434533,0.24023905443615284
36,16,10,3.0,14,0.22,1.8,0.6730869614495613,0.24031486234812172
36,12,10,2.5,6,0.18,2.6,0.6730874553050494,0.24020509742901142
36,12,10,3.0,6,0.15,1.8,0.6730880879578198,0.24015274212747714
40,16,15,3.0,10,0.18,2.6,0.6730887261266268,0.24034769472586873
32,12,10,3.0,10,0.22,1.8,0.6730892517655679,0.24022320337461922
40,12,20,3.0,14,0.18,2.2,0.6730903150974128,0.24039982658743997
40,12,15,3.0,6,0.18,1.8,0.6730911432080147,0.2402069035927467
36,12,20,3.0,14,0.22,2.2,0.6730986144219305,0.24036927425163424
36,12,10,2.0,14,0.22,2.6,0.6730991481068281,0.24024471693526936
40,16,10,2.5,14,0.15,2.6,0.673100343488528,0.24031547028712957
36,12,15,3.0,10,0.15,2.2,0.6731015634180708,0.24026028602704483
40,16,15,3.0,14,0.22,1.8,0.6731058078012511,0.24041310953805736
32,12,10,3.0,10,0.18,2.6,0.6731100379323274,0.24023362225906697
40,12,15,2.0,14,0.18,2.2,0.6731121597959829,0.24031087273819007
36,12,15,3.0,6,0.22,2.2,0.6731124275236972,0.24027037528176967
40,12,15,1.5,10,0.22,2.6,0.6731194249128701,0.24028405242965525
32,12,15,3.0,10,0.22,2.2,0.6731308469351915,0.2402747781326311
40,20,10,3.0,14,0.22,2.6,0.6731319100590288,0.24043821808867952
36,12,10,2.5,14,0.15,1.8,0.67313715564176,0.24026722655567803
40,16,10,2.5,14,0.18,1.8,0.6731450891352225,0.24033583595118968
32,12,10,3.0,14,0.18,2.2,0.6731452518414565,0.24027113095940122
40,16,15,3.0,10,0.22,1.8,0.6731472685987828,0.2403761920174553
36,16,15,3.0,10,0.22,2.6,0.6731517818042254,0.24036275552955008
40,12,15,2.5,6,0.22,1.8,0.6731565558215753,0.240283534081954
36,16,10,3.0,10,0.18,2.6,0.6731672276561892,0.24031459170733607
40,16,10,2.0,10,0.22,2.2,0.6731679144403951,0.24031333294526544
40,16,10,3.0,6,0.22,1.8,0.673168285729426,0.24029260985889608
40,12,15,3.0,6,0.15,2.2,0.6731738609882291,0.24022965388240905
40,12,10,2.0,6,0.15,2.6,0.6731803983752538,0.240242124041141
36,12,15,2.5,14,0.18,2.2,0.6731835322754282,0.2403320301098012
32,12,15,3.0,14,0.22,2.2,0.6731851745183705,0.24032928002247012
36,16,10,3.0,10,0.22,1.8,0.6731853543643446,0.2403231391471531
40,12,10,1.5,6,0.22,2.6,0.673193149708774,0.24027241511132671
36,12,10,2.5,6,0.22,1.8,0.6731967194726501,0.2402559882396639
40,16,15,2.5,10,0.22,2.2,0.6731970243714485,0.2403896357023207
40,16,10,2.0,14,0.22,2.2,0.6731975662022469,0.24035227077666113
36,12,10,2.0,10,0.22,2.2,0.6731979442369834,0.24027274344010802
40,12,15,2.0,10,0.18,2.2,0.6731993349979541,0.2403202487818471
40,12,20,3.0,10,0.18,2.2,0.6732013907396062,0.24039115718875542
40,12,15,1.5,14,0.22,2.6,0.6732019332631268,0.24034077270652632
36,12,10,2.5,10,0.15,2.2,0.6732137261465855,0.240280635939108
40,12,20,2.0,10,0.22,2.6,0.6732199775427594,0.24038953612789835
36,12,15,2.0,10,0.22,2.6,0.6732219853164932,0.24032018796107238
36,16,10,3.0,14,0.18,2.2,0.6732348198723064,0.2403764336316865
36,16,10,2.5,10,0.22,2.6,0.6732372863901344,0.2403446385510017
40,16,10,3.0,10,0.15,1.8,0.6732444522680059,0.24034155350968645
36,12,10,2.0,14,0.22,2.2,0.6732498120088927,0.2403149989363148
40,12,25,3.0,10,0.22,2.6,0.6732558706093914,0.24049425375869757
40,16,15,2.5,14,0.22,2.2,0.6732607577011261,0.24046000633734418
