k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,20,20,3.0,14,0.18,2.2,0.6678431464282415,0.2377914692049185
36,12,15,3.0,10,0.15,2.6,0.6678460098532405,0.237679297565689
40,20,20,3.0,14,0.22,1.8,0.6678544886298465,0.23781442819566878
36,12,20,2.5,14,0.18,2.2,0.6678634954602919,0.23770466585064834
40,16,15,2.5,10,0.18,2.6,0.6678647297977471,0.2377253214349331
36,12,20,2.5,14,0.22,1.8,0.6678662838736937,0.23771432957093627
40,12,10,3.0,6,0.22,2.6,0.6678740303883081,0.2377264731689597
40,16,10,3.0,10,0.15,1.8,0.6678782116675213,0.23770634820879888
40,12,10,2.5,10,0.15,2.2,0.6678838903091383,0.2376956434529973
40,20,10,2.5,14,0.15,2.6,0.6678843212070058,0.2377350696379483
40,12,10,2.0,14,0.22,1.8,0.6678872156934103,0.23769343895491768
40,12,20,2.0,10,0.22,2.6,0.6678872200635192,0.23773758446748094
40,12,20,2.5,10,0.15,2.6,0.6678993733258427,0.2377220283312186
36,12,20,2.5,14,0.15,2.6,0.6679060814165982,0.23771606304904558
36,12,10,3.0,10,0.22,2.2,0.6679089846636693,0.23771114391324036
40,16,25,2.5,14,0.22,2.2,0.6679116730811296,0.23782379724552405
40,16,15,2.0,14,0.18,2.6,0.6679120646735149,0.23774238335239928
40,16,20,2.5,10,0.22,2.6,0.6679143731922003,0.23779544064755176
40,12,10,2.0,14,0.18,2.2,0.6679169449431888,0.23770544695944903
