MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0092,2025-12-02,WeissTiger,WhaleWave,4,0,1010.83,993.49,1028.48,976.98,Xtreme,Xtreme,exhibition,,,,33.446,33.446,37.1551,34.7432,0.5249,0.4751,1.0,0.0,0.037,-0.0129
M0093,2025-12-02,TuskMammoth,CrimsonGaruda,5,3,1049.24,986.65,1058.83,976.97,Xtreme,Xtreme,exhibition,,,,28.4261,34.9245,37.4856,37.8479,0.5891,0.4109,0.8449,0.1551,0.1062,-0.0279
M0094,2025-12-02,UnicornSting,LeonCrest,2,5,992.87,952.63,976.23,974.69,Xtreme,Xtreme,exhibition,,,,30.769,34.9245,36.5998,48.5049,0.5577,0.4423,0.1029,0.8971,-0.0632,-0.1296
M0095,2025-12-02,WizardRod,WizardArc,2,4,996.33,953.38,981.35,972.98,Xtreme,Xtreme,exhibition,,,,30.769,34.9245,36.8501,48.2371,0.5615,0.4385,0.1551,0.8449,-0.0659,-0.1271
M0096,2025-12-02,DranBuster,TyrannoBeat,4,0,969.2,971.84,991.28,950.57,Xtreme,Xtreme,exhibition,,,,33.446,33.446,43.8352,42.2356,0.4962,0.5038,1.0,0.0,-0.1035,-0.0876
M0097,2025-12-02,HellsChain,HellsReaper,4,1,978.51,954.74,993.3,937.42,Xtreme,Xtreme,exhibition,,,,33.446,34.9245,40.7307,47.7324,0.5342,0.4658,0.8971,0.1029,-0.0726,-0.1222
M0098,2025-12-02,WizardArrow,SharkEdge,1,4,948.86,971.78,930.78,987.04,Xtreme,Xtreme,exhibition,,,,34.9245,33.446,49.6408,41.9012,0.4671,0.5329,0.1029,0.8971,-0.1405,-0.0843
M0099,2025-12-02,WhaleFlame,PegasusBlast,4,2,966.93,956.63,982.53,939.97,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,47.2448,50.4826,0.5148,0.4852,0.8449,0.1551,-0.0981,-0.1276
M0100,2025-12-02,PerseusDark,DranBrave,4,1,965.07,965.12,982.85,947.47,Xtreme,Xtreme,exhibition,,,,33.446,33.446,44.7655,44.4491,0.4999,0.5001,0.8971,0.1029,-0.1128,-0.1097
M0101,2025-12-02,ScorpioSpear,HellsHammer,5,1,980.07,941.37,997.13,918.59,Xtreme,Xtreme,exhibition,,,,32.0629,34.9245,38.3838,51.2548,0.5555,0.4445,1.0,0.0,-0.0657,-0.1559
M0102,2025-12-02,PhoenixRudder,SamuraiSaber,4,1,983.12,941.74,996.45,924.46,Xtreme,Xtreme,exhibition,,,,32.0629,34.9245,39.4654,51.1543,0.5593,0.4407,0.8971,0.1029,-0.077,-0.1549
M0103,2025-12-11,ViperTail,DranDagger,2,5,1038.09,1041.58,1021.27,1057.12,Xtreme,Xtreme,exhibition,,,,30.769,29.5585,42.8988,39.6192,0.495,0.505,0.1029,0.8971,0.1314,0.1135
